Match Date,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
2016-07-31,D.C. United,Montreal Impact,,
2016-07-31,Chicago Fire,New York Red Bulls,,
2016-07-31,Philadelphia Union,Real Salt Lake,,
2016-07-31,Toronto FC,Columbus Crew SC,,
2016-07-31,Orlando City SC,New England Revolution,,
2016-07-31,Houston Dynamo,San Jose Earthquakes,,
2016-08-03,Toronto FC,Real Salt Lake,,
2016-08-05,San Jose Earthquakes,New York City FC,,
2016-08-06,D.C. United,Philadelphia Union,,
2016-08-06,Toronto FC,New England Revolution,,
2016-08-06,Montreal Impact,Houston Dynamo,,
2016-08-06,Colorado Rapids,Vancouver Whitecaps FC,,
2016-08-06,Real Salt Lake,Chicago Fire,,
2016-08-07,Portland Timbers,Sporting Kansas City,,
2016-08-07,Orlando City SC,Seattle Sounders FC,,
2016-08-07,LA Galaxy,New York Red Bulls,,
2016-08-12,Vancouver Whitecaps FC,San Jose Earthquakes,,
2016-08-13,New York Red Bulls,Montreal Impact,,
2016-08-13,Columbus Crew SC,New York City FC,,
2016-08-13,New England Revolution,Philadelphia Union,,
2016-08-13,D.C. United,Portland Timbers,,
2016-08-13,FC Dallas,Sporting Kansas City,,
2016-08-13,LA Galaxy,Colorado Rapids,,
2016-08-14,Chicago Fire,Orlando City SC,,
2016-08-14,Seattle Sounders FC,Real Salt Lake,,
2016-08-14,Houston Dynamo,Toronto FC,,
2016-08-19,San Jose Earthquakes,Houston Dynamo,,
2016-08-20,New York City FC,LA Galaxy,,
2016-08-20,Philadelphia Union,Toronto FC,,
2016-08-20,Montreal Impact,Chicago Fire,,
2016-08-20,New England Revolution,Columbus Crew SC,,
2016-08-20,Colorado Rapids,Orlando City SC,,
2016-08-20,Real Salt Lake,FC Dallas,,
2016-08-20,Sporting Kansas City,Vancouver Whitecaps FC,,
2016-08-21,D.C. United,New York Red Bulls,,
2016-08-21,Seattle Sounders FC,Portland Timbers,,
2016-08-24,Orlando City SC,Toronto FC,,
2016-08-24,Montreal Impact,D.C. United,,
2016-08-24,Columbus Crew SC,Philadelphia Union,,
2016-08-24,Chicago Fire,LA Galaxy,,
2016-08-24,Houston Dynamo,Seattle Sounders FC,,
2016-08-24,San Jose Earthquakes,New England Revolution,,
