Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
22,Lanús,Vélez Sarsfield,,
22,Unión,Patronato,,
22,Olimpo,Atlético de Rafaela,,
22,Boca Juniors,Arsenal,,
22,Independiente,Estudiantes (LP),,
22,Huracán,Newell's Old Boys,,
23,Aldosivi,Huracán,,
23,Newell's Old Boys,Independiente,,
23,Estudiantes (LP),Boca Juniors,,
23,Arsenal,Olimpo,,
23,Atlético de Rafaela,Unión,,
23,Patronato,Lanús,,
23,Vélez Sarsfield,Belgrano,,
23,Defensa y Justicia,Godoy Cruz,,
23,San Martín (SJ),Quilmes,,
23,Talleres (C),Tigre,,
23,Banfield,Sarmiento,,
23,Colón,Atlético Tucumán,,
23,River Plate,Temperley,,
23,Racing Club,Gimnasia y Esgrima (LP),,
23,San Lorenzo,Rosario Central,,
24,Boca Juniors,River Plate,,
24,Independiente,Racing Club,,
24,Huracán,San Lorenzo,,
24,Estudiantes (LP),Gimnasia y Esgrima (LP),,
24,Newell's Old Boys,Rosario Central,,
24,Banfield,Lanús,,
24,Colón,Unión,,
24,Talleres (C),Belgrano,,
24,San Martín (SJ),Godoy Cruz,,
24,Defensa y Justicia,Quilmes,,
24,Arsenal,Temperley,,
24,Olimpo,Aldosivi,,
24,Patronato,Sarmiento,,
24,Atlético de Rafaela,Atlético Tucumán,,
24,Vélez Sarsfield,Tigre,,
25,San Lorenzo,Aldosivi,,
25,Rosario Central,Racing Club,,
25,Gimnasia y Esgrima (LP),River Plate,,
25,Temperley,Colón,,
25,Atlético Tucumán,Banfield,,
25,Sarmiento,Talleres (C),,
25,Tigre,San Martín (SJ),,
25,Quilmes,Defensa y Justicia,,
25,Godoy Cruz,Vélez Sarsfield,,
25,Belgrano,Patronato,,
25,Lanús,Atlético de Rafaela,,
25,Unión,Arsenal,,
25,Olimpo,Estudiantes (LP),,
25,Boca Juniors,Newell's Old Boys,,
25,Independiente,Huracán,,
26,Aldosivi,Independiente,,
26,Huracán,Boca Juniors,,
26,Newell's Old Boys,Olimpo,,
26,Estudiantes (LP),Unión,,
26,Arsenal,Lanús,,
26,Atlético de Rafaela,Belgrano,,
26,Patronato,Godoy Cruz,,
26,Vélez Sarsfield,Quilmes,,
26,Defensa y Justicia,Tigre,,
26,San Martín (SJ),Sarmiento,,
26,Talleres (C),Atlético Tucumán,,
26,Banfield,Temperley,,
26,Colón,Gimnasia y Esgrima (LP),,
26,River Plate,Rosario Central,,
26,Racing Club,San Lorenzo,,
27,Racing Club,Aldosivi,,
27,San Lorenzo,River Plate,,
27,Rosario Central,Colón,,
27,Gimnasia y Esgrima (LP),Banfield,,
27,Temperley,Talleres (C),,
27,Atlético Tucumán,San Martín (SJ),,
27,Sarmiento,Defensa y Justicia,,
27,Tigre,Vélez Sarsfield,,
27,Quilmes,Patronato,,
27,Godoy Cruz,Atlético de Rafaela,,
27,Belgrano,Arsenal,,
27,Lanús,Estudiantes (LP),,
27,Unión,Newell's Old Boys,,
27,Olimpo,Huracán,,
27,Boca Juniors,Independiente,,
28,Aldosivi,Boca Juniors,,
28,Independiente,Olimpo,,
