matchday,home,away
7,OGC Nice,Olympique Lyonnais
7,AS Nancy Lorraine,Paris Saint-Germain
7,SC Bastia,Angers SCO
7,EA Guingamp,LOSC
7,FC Lorient,FC Nantes
7,Montpellier Hérault SC,SM Caen
7,Stade Rennais FC,Girondins de Bordeaux
7,AS Saint-Etienne,Dijon FCO
7,Olympique de Marseille,FC Metz
8,Toulouse FC,AS Monaco
8,OGC Nice,Olympique Lyonnais
8,AS Nancy Lorraine,Paris Saint-Germain
8,SC Bastia,Angers SCO
8,EA Guingamp,LOSC
8,FC Lorient,FC Nantes
8,Montpellier Hérault SC,SM Caen
8,Stade Rennais FC,Girondins de Bordeaux
8,AS Saint-Etienne,Dijon FCO
8,Olympique de Marseille,FC Metz
9,Toulouse FC,AS Monaco
9,OGC Nice,Olympique Lyonnais
9,AS Nancy Lorraine,Paris Saint-Germain
9,SC Bastia,Angers SCO
9,EA Guingamp,LOSC
9,FC Lorient,FC Nantes
9,Montpellier Hérault SC,SM Caen
9,Stade Rennais FC,Girondins de Bordeaux
9,AS Saint-Etienne,Dijon FCO
9,Olympique de Marseille,FC Metz
10,Toulouse FC,AS Monaco
10,OGC Nice,Olympique Lyonnais
10,AS Nancy Lorraine,Paris Saint-Germain
10,SC Bastia,Angers SCO
10,EA Guingamp,LOSC
10,FC Lorient,FC Nantes
10,Montpellier Hérault SC,SM Caen
10,Stade Rennais FC,Girondins de Bordeaux
10,AS Saint-Etienne,Dijon FCO
10,Olympique de Marseille,FC Metz
11,Toulouse FC,AS Monaco
11,OGC Nice,Olympique Lyonnais
11,AS Nancy Lorraine,Paris Saint-Germain
11,SC Bastia,Angers SCO
11,EA Guingamp,LOSC
11,FC Lorient,FC Nantes
11,Montpellier Hérault SC,SM Caen
11,Stade Rennais FC,Girondins de Bordeaux
11,AS Saint-Etienne,Dijon FCO
11,Olympique de Marseille,FC Metz
12,Toulouse FC,AS Monaco
12,OGC Nice,Olympique Lyonnais
12,AS Nancy Lorraine,Paris Saint-Germain
12,SC Bastia,Angers SCO
12,EA Guingamp,LOSC
12,FC Lorient,FC Nantes
12,Montpellier Hérault SC,SM Caen
12,Stade Rennais FC,Girondins de Bordeaux
12,AS Saint-Etienne,Dijon FCO
12,Olympique de Marseille,FC Metz
13,Toulouse FC,AS Monaco
13,OGC Nice,Olympique Lyonnais
13,AS Nancy Lorraine,Paris Saint-Germain
13,SC Bastia,Angers SCO
13,EA Guingamp,LOSC
13,FC Lorient,FC Nantes
13,Montpellier Hérault SC,SM Caen
13,Stade Rennais FC,Girondins de Bordeaux
13,AS Saint-Etienne,Dijon FCO
13,Olympique de Marseille,FC Metz
14,Toulouse FC,AS Monaco
14,OGC Nice,Olympique Lyonnais
14,AS Nancy Lorraine,Paris Saint-Germain
14,SC Bastia,Angers SCO
14,EA Guingamp,LOSC
14,FC Lorient,FC Nantes
14,Montpellier Hérault SC,SM Caen
14,Stade Rennais FC,Girondins de Bordeaux
14,AS Saint-Etienne,Dijon FCO
