Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Rosario Central,Talleres,Germán Delfino,6,1,1,240,178,151.2307692308,197.2142857143,74.2702702703,60.0217391304,2948,3111,3245
Gimnasia,San Martín (SJ),Facundo Tello,3,0,0,66,185,127.3684210526,156.5625,50.9433962264,75.2631578947,3263,3460,3620
Temperley,Def. y Justicia,Andrés Merlos,3,0,1,104,274,163.1333333333,183.4666666667,77.2571428571,88.8787878788,3988,4066,4132
Atlético Tucumán,Vélez,Jorge Baliño,2,0,0,207,254,212.25,169.8125,112.2173913043,104.5,4482,4493,4503
Sarmiento,Patronato,Nicolás Lamolina,4,1,1,191,107,184.2222222222,260.3,75.3243243243,76.3055555556,3333,3535,3699
Tigre,Atlético Rafaela,Diego Abal,5,0,0,60,258,162.7692307692,201.75,54.5416666667,51.2105263158,2150,2473,2727
Quilmes,Arsenal,Juan Pablo Pompei,6,0,0,28,262,145.3333333333,161.9333333333,77.4411764706,85.1818181818,3912,3941,3968
Godoy Cruz,Estudiantes,Hernán Mastrángelo,5,0,0,64,236,295.625,241.1,68.3684210526,65.7073170732,2600,2854,3057
Belgrano,Newell`s,Silvio Trucco,5,1,1,60,199,186.5,173.7692307692,64.7619047619,59.1276595745,2295,2566,2781
Lanús,Huracán,Patricio Loustau,7,1,1,115,192,457.75,252.6363636364,96.1724137931,75.1081081081,3327,3485,3615
Unión,Independiente,Fernando Echenique,3,0,0,71,45,265,257.5714285714,70.5675675676,60.5454545455,2795,3014,3191
Olimpo,Boca Juniors,Federico Beligoy,3,0,0,124,182,251.1818181818,278.2222222222,74.6756756757,63.3333333333,2703,2922,3099
Aldosivi,Olimpo,Juan Pablo Pompei,2,2,0,218,795,252.9090909091,549,54.8235294118,73.6,2696,3030,3292
Boca Juniors,Unión,Mauro Vigliano,5,0,0,135,188,263.375,171.25,68.2051282051,66.7380952381,3390,3587,3747
Independiente,Lanús,Germán Delfino,4,1,1,68,377,204.2,259.5454545455,63.9512195122,77.7894736842,3344,3535,3691
Huracán,Belgrano,Darío Herrera,4,0,0,50,180,207.9230769231,152.7647058824,56.3125,50.1403508772,2598,2898,3135
Newell`s,Godoy Cruz,Pablo Dóvalo,1,0,0,15,189,290.2857142857,289,68.2432432432,78.3428571429,3317,3537,3714
Estudiantes,Quilmes,Héctor Paletta,3,1,0,62,191,267.1,173.875,54.5102040816,64.9534883721,2276,2536,2743
Arsenal,Tigre,Fernando Espinoza,3,0,0,146,180,223,282.7,64.7317073171,51.4,2660,2954,3186
Atlético Rafaela,Sarmiento,Pedro Argañaraz,3,0,0,65,309,173.4,288.7777777778,61.8409090909,67.3636363636,2298,2552,2755
Patronato,Atlético Tucumán,Ramiro López,6,0,0,66,182,260.2222222222,315,147.1111111111,143.1,4355,4362,4368
Vélez,Temperley,Fernando Echenique,2,0,0,98,210,203,167.125,96.2857142857,83.5625,3927,3987,4039
Def. y Justicia,Gimnasia,Pablo Echavarría,3,0,1,62,196,194.5,233.4545454545,93.962962963,68.380952381,3639,3809,3947
San Martín (SJ),Rosario Central,Silvio Trucco,4,0,1,120,162,242.8181818182,172.6428571429,53.42,47.7627118644,2616,2921,3162
Talleres,San Lorenzo,Patricio Loustau,6,1,1,65,256,257.7,182.2142857143,77.4705882353,58.5208333333,2530,2744,2916
Banfield,Racing Club,Federico Rapallini,8,0,0,242,222,137.5,191.4545454545,67.3255813953,53.7692307692,1992,2224,2409
Colón,River Plate,Jorge Baliño,7,0,0,62,173,129.9,144.4444444444,67.275,56.6875,3267,3447,3594
