home_team,away_team,apt
Consadole Sapporo,Yokohama FC,3485
Giravanz Kitakyushu,Kataller Toyama,3487
Ehime FC,Fagiano Okayama,3487
V-Varen Nagasaki,Gamba Osaka,3488
JEF United Chiba,FC Gifu,3490
Gamba Osaka,Gainare Tottori,3492
Tokushima Vortis,Mito Hollyhock,3492
FC Gifu,Avispa Fukuoka,3495
Giravanz Kitakyushu,Gamba Osaka,3498
Tokyo Verdy,Kyoto Sanga FC,3501
Giravanz Kitakyushu,Kyoto Sanga FC,3502
Kataller Toyama,JEF United Chiba,3504
Fagiano Okayama,Vissel Kobe,3506
Gamba Osaka,Tokushima Vortis,3507
Ehime FC,Yokohama FC,3507
Gamba Osaka,Yokohama FC,3513
Tokushima Vortis,Kyoto Sanga FC,3513
FC Gifu,Tokushima Vortis,3514
Giravanz Kitakyushu,Montedio Yamagata,3518
Consadole Sapporo,Kyoto Sanga FC,3520
Giravanz Kitakyushu,FC Gifu,3531
Tokyo Verdy,Avispa Fukuoka,3533
FC Gifu,Montedio Yamagata,3539
Giravanz Kitakyushu,Mito Hollyhock,3541
Tochigi SC,Gamba Osaka,3542
Matsumoto Yamaga FC,Kyoto Sanga FC,3545
Kataller Toyama,Gamba Osaka,3548
FC Gifu,Roasso Kumamoto,3548
Yokohama FC,Giravanz Kitakyushu,3548
Avispa Fukuoka,Gamba Osaka,3550
V-Varen Nagasaki,JEF United Chiba,3551
Kyoto Sanga FC,Tokushima Vortis,3557
Consadole Sapporo,Matsumoto Yamaga FC,3558
V-Varen Nagasaki,Giravanz Kitakyushu,3559
Gamba Osaka,Avispa Fukuoka,3565
Roasso Kumamoto,JEF United Chiba,3566
JEF United Chiba,Roasso Kumamoto,3567
JEF United Chiba,Gainare Tottori,3571
Gamba Osaka,Tochigi SC,3572
Vissel Kobe,V-Varen Nagasaki,3585
Gamba Osaka,Thespa Kusatsu Gunma,3604
Ehime FC,Gamba Osaka,3605
FC Gifu,Gamba Osaka,3614
Roasso Kumamoto,Kataller Toyama,3624
Fagiano Okayama,JEF United Chiba,3625
Gamba Osaka,Matsumoto Yamaga FC,3632
Tokyo Verdy,Ehime FC,3633
Tokushima Vortis,Matsumoto Yamaga FC,3635
Giravanz Kitakyushu,Vissel Kobe,3640
Vissel Kobe,Avispa Fukuoka,3643
JEF United Chiba,Fagiano Okayama,3645
Roasso Kumamoto,Gamba Osaka,3657
JEF United Chiba,Tokushima Vortis,3657
Vissel Kobe,Consadole Sapporo,3659
Gamba Osaka,V-Varen Nagasaki,3668
Giravanz Kitakyushu,Tokushima Vortis,3669
Fagiano Okayama,Gamba Osaka,3669
Tokushima Vortis,Gamba Osaka,3670
Gamba Osaka,Fagiano Okayama,3673
Consadole Sapporo,Gamba Osaka,3679
Thespa Kusatsu Gunma,Gamba Osaka,3683
Tokyo Verdy,Tokushima Vortis,3693
Tokyo Verdy,Giravanz Kitakyushu,3709
Tokushima Vortis,Tokyo Verdy,3730
Ehime FC,Matsumoto Yamaga FC,3741
JEF United Chiba,Giravanz Kitakyushu,3743
Gamba Osaka,Roasso Kumamoto,3757
Tokushima Vortis,Giravanz Kitakyushu,3763
Mito Hollyhock,JEF United Chiba,3766
Gamba Osaka,JEF United Chiba,3810
Kataller Toyama,Tokushima Vortis,3816
Fagiano Okayama,Tokushima Vortis,3822
Yokohama FC,Gamba Osaka,3826
Gamba Osaka,FC Gifu,3863
Tokushima Vortis,Gainare Tottori,3888
Gamba Osaka,Ehime FC,3899
Gamba Osaka,Mito Hollyhock,4044
